protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
A1E959	-0.523289315219474	0.0814065760508161	-6.42809636033363	2.40749000867312e-07	0.0674304424340455	0.180305812496638	0.373978195712925	0.71074266282066	0.00409666859017886	CSF	1292
A1L4H1	-0.59677867142754	0.43887048325553	-1.35980589763215	0.182841056720268	0.829830785144539	0.216740568164542	3.82868233746883	0.000527598487251894	0.301257036718149	CSF	370
A4D1B5	-5.30596049021315	0.0807842075329546	-65.6806652222054	2.08411732450672e-37	0.035539625121278	0.0918692768297916	0.386849949707595	0.701278062354016	0.00438226661040793	CSF	1287
A6NI73	-0.756380589990395	1.27030328311548	-0.595433074954618	0.5554969793456	0.667553226469638	0.23678315463047	2.81925978860886	0.00797022102858377	0.18947704253244	CSF	617
B1AKI9	-0.881591992787147	0.599907486134191	-1.46954657703663	0.150877913958462	0.651889526880855	0.185864984584085	3.50732833481037	0.00129455415325955	0.265680190836923	CSF	436
NTproBNP	1.80917130845809	0.210675647383799	8.58747240568449	4.9470767435726e-10	0.329989803454413	0.240371721345412	1.37283121994297	0.178792568861974	0.0525200814643316	CSF	938
O00161	0.418394395396289	0.610984673755412	0.684787055008486	0.498120304309168	0.32555480631163	0.179553438487153	1.81313601708008	0.0786473344411869	0.0881653515959634	CSF	837
O00175	-1.8225604091883	1.40565701241779	-1.29658970366706	0.203503667059062	0.741536170541888	0.233386881008134	3.17728300467773	0.0031587856817103	0.228939747129113	CSF	522
O00182	0.460992754174807	0.199816559927708	2.30707982532374	0.0272699103273115	0.773112219116429	0.228435335461341	3.38438104400563	0.00181184351275929	0.251991600705347	CSF	480
O00186	0.37754833233615	0.075511346306256	4.9998887690984	1.71835502087337e-05	-0.0194827957847003	0.123250006221713	-0.158075414208524	0.875332505799444	0.000734396635120443	CSF	1394
O00214	0.898651093255675	0.19242001641298	4.67025785574693	4.57829918564869e-05	0.939574814807452	0.231189105524877	4.06409641438036	0.000269368301688109	0.326957638214911	CSF	297
O00220	0.526439137771956	0.359099277983546	1.46599887565376	0.151836794181796	0.765816269034987	0.182123761258116	4.20492232174818	0.000179293077211129	0.342122725063237	CSF	262
